1.1_CaseID;Count_of_Cases
15360;2
70860;2
322570;1
322690;1
322691;1
324890;1
326230;1
327770;1
328440;1
328441;1
328442;1
328443;1
328450;1
328451;1
328452;1
328453;1
430950;1
431890;1
432590;3
432591;3
435500;1
435540;1
435590;1
435870;1
436190;3
437000;2
437001;2
437010;3
437011;3
437020;2
437660;2
540280;3
540281;3
540290;3
540291;3
544520;1
547470;1
547590;1
547591;1
548980;2
548981;2
548982;2
548983;2
548984;2
548985;2
549760;1
549761;1
760330;3
760331;3
762180;1
762191;1
762720;1
763130;4
763131;4
763450;1
763460;3
764520;2
764840;2
764850;2
765590;1
765780;1
767740;2
769080;1
769710;1
874120;2
875440;2
875441;2
876630;1
876631;1
876632;1
876633;1
878040;1
878360;2
878660;2
981450;1
982020;2
982021;2
988340;1
988750;3
988751;3
988760;3
988761;3
988800;1
988801;1
989030;2
989031;2
989032;2
989040;2
989041;2
989042;2
1091120;1
1092350;1
1092351;1
1092352;1
1092430;3
1092480;2
1092850;2
1093330;1
1093331;1
1093332;1
1096030;2
1096031;2
1096032;2
1096033;2
1096930;3
1097240;2
2115100;1
2115720;3
2117040;1
2117041;1
2117042;1
2210450;3
2211020;4
2213690;7
2214110;1
6151380;4
6151470;2
6151520;2
6151570;2
6151660;2
6152400;2
6152401;2
6152740;2
6152810;2
6153290;1
6153291;1
6153292;1
6153293;1
6154380;1
6154381;1
6154990;1
6155000;1
6256290;1
6256291;1
6256620;2
6256621;2
6256730;2
6256731;2
6256810;1
6257330;2
6259070;2
6259170;2
6259240;4
6259380;1
6259410;3
6259880;2
6259881;2
6259882;2
6259980;2
7621910;1
11101180;1
11101181;1
11103000;2
11103001;2
11104400;1
11107920;2
11108600;2
11109940;4
11110460;5
12111910;3
12112060;2
12112061;2
12112340;2
12115220;3
12115221;3
12115222;3
12115223;3
12115224;2
12115225;2
12115226;2
12115227;2
13115230;4
13115231;4
13115240;3
13115241;3
13115260;2
13115261;2
13115270;1
13115271;1
13115290;3
13115310;1
13115320;1
13115321;1
13115322;1
13115323;1
13115330;3
13115340;1
13115360;3
13115370;1
13115390;1
13115391;1
13115410;1
13115411;1
13115430;1
13115440;3
13115441;3
13115450;1
13115470;1
13115471;1
13115480;2
13115481;2
13115510;1
13115511;1
13115512;1
13115513;1
13115520;1
13115521;1
13115522;1
13115530;2
13115531;2
13115540;3
13115590;1
13115600;1
13115601;1
13115602;1
13115620;2
13115640;1
13115650;1
13115660;2
13115661;2
13115670;1
13115671;1
13115672;1
13115673;1
13115680;2
13115690;1
13115730;2
13115740;2
13115741;2
13115770;1
13115780;1
13115781;1
13115782;1
13115783;1
13115784;1
13115785;1
13115790;1
13115800;2
13115820;2
13115830;1
13115840;1
13115841;1
13115860;2
13115861;2
13115862;2
13115863;2
13115870;1
13115871;1
13115872;1
13115873;1
13115874;1
13115875;1
13115876;1
13115877;1
13115878;1
13115880;5
13115910;2
13115911;2
13115930;1
13115940;5
